timestamp,open,high,low,close
1585795500000,1.02541,1.02558,1.02522,1.02552
1585795800000,1.02552,1.02604,1.02552,1.02593
1585796100000,1.0259,1.0259,1.02504,1.02548
1585796400000,1.02548,1.02599,1.02546,1.02567
1585796700000,1.0257,1.02582,1.02554,1.0257
1585797000000,1.02564,1.02578,1.0253,1.0253
1585797300000,1.0253,1.0258,1.02524,1.02575
1585797600000,1.02575,1.02621,1.02557,1.02563
1585797900000,1.02563,1.02592,1.02536,1.02577
1585798200000,1.02579,1.02639,1.02572,1.02629
1585798500000,1.02629,1.02649,1.02591,1.02591
1585798800000,1.02592,1.02617,1.02578,1.02588
1585799100000,1.02584,1.02679,1.02583,1.02614
1585799400000,1.02614,1.02639,1.026,1.02624
1585799700000,1.02622,1.02622,1.02575,1.02592
1585800000000,1.02587,1.02603,1.0257,1.02587
1585800300000,1.02585,1.02605,1.02564,1.02582
1585800600000,1.02583,1.0259,1.0258,1.02585
1585800900000,1.02583,1.02598,1.02537,1.0259
1585801200000,1.02591,1.02604,1.02547,1.0256
1585801500000,1.02559,1.02562,1.02522,1.02529
1585801800000,1.02533,1.02545,1.02513,1.02521
1585802100000,1.02519,1.02531,1.02511,1.0252
1585802400000,1.0252,1.02525,1.02508,1.02522
1585802700000,1.0252,1.02552,1.0252,1.02522
1585803000000,1.02517,1.02517,1.02487,1.02493
1585803300000,1.02489,1.02501,1.02481,1.02483
1585803600000,1.02484,1.02504,1.02482,1.02486
1585803900000,1.02484,1.02486,1.02433,1.02441
1585804200000,1.02443,1.02461,1.02433,1.0244
1585804500000,1.0244,1.02443,1.02322,1.02374
1585804800000,1.02374,1.02381,1.02338,1.0235
1585805100000,1.02345,1.02373,1.02342,1.02367
1585805400000,1.02366,1.02433,1.0236,1.02391
1585805700000,1.02391,1.02454,1.02385,1.02437
1585806000000,1.02437,1.02506,1.02408,1.02478
1585806300000,1.02478,1.02512,1.02471,1.02489
1585806600000,1.02489,1.02498,1.02455,1.02462
1585806900000,1.02463,1.02518,1.0244,1.02471
1585807200000,1.02469,1.02579,1.02449,1.0253
1585807500000,1.02531,1.0258,1.02451,1.02568
1585807800000,1.02567,1.02592,1.02493,1.02526
1585808100000,1.02524,1.0255,1.02491,1.02494
1585808400000,1.02494,1.02513,1.02394,1.02411
1585808700000,1.02411,1.0247,1.02398,1.02468
1585809000000,1.0247,1.02505,1.02437,1.02439
1585809300000,1.02439,1.02459,1.02409,1.02415
1585809600000,1.02417,1.02463,1.02401,1.02437
1585809900000,1.02435,1.02457,1.02415,1.02447
1585810200000,1.02442,1.02505,1.02424,1.02459
1585810500000,1.02459,1.02475,1.02347,1.02374
1585810800000,1.02373,1.02401,1.02339,1.02375
1585811100000,1.02374,1.02396,1.02344,1.02354
1585811400000,1.0236,1.0239,1.02323,1.02339
1585811700000,1.02339,1.02403,1.02292,1.02385
1585812000000,1.02379,1.02426,1.02358,1.02374
1585812300000,1.02373,1.02444,1.02366,1.02443
1585812600000,1.02442,1.02448,1.02372,1.0243
1585812900000,1.02431,1.0245,1.0242,1.02429
1585813200000,1.02428,1.02436,1.02383,1.02401
1585813500000,1.02401,1.02445,1.0237,1.02433
1585813800000,1.02432,1.02454,1.02417,1.0243
1585814100000,1.02434,1.02453,1.02418,1.02438
1585814400000,1.02443,1.02489,1.02393,1.02424
1585814700000,1.02426,1.02512,1.02418,1.02463
1585815000000,1.02462,1.02463,1.02407,1.0245
1585815300000,1.0245,1.0245,1.02395,1.02434
1585815600000,1.02433,1.02465,1.02429,1.02443
1585815900000,1.02443,1.02448,1.02402,1.0242
1585816200000,1.02422,1.02453,1.02403,1.02434
1585816500000,1.02433,1.0247,1.0241,1.02466
1585816800000,1.02465,1.02484,1.02408,1.02414
1585817100000,1.02413,1.02437,1.02393,1.02404
1585817400000,1.02404,1.02467,1.02392,1.02443
1585817700000,1.02443,1.02454,1.02376,1.02388
1585818000000,1.02385,1.02461,1.02357,1.02458
1585818300000,1.02457,1.02475,1.02378,1.02382
1585818600000,1.02382,1.02406,1.02356,1.0237
1585818900000,1.02372,1.02379,1.02322,1.02338
1585819200000,1.02339,1.02358,1.02298,1.02304
1585819500000,1.02302,1.02384,1.02301,1.02368
1585819800000,1.02372,1.02382,1.02327,1.02341
1585820100000,1.02342,1.02405,1.02341,1.02367
1585820400000,1.02369,1.02406,1.02362,1.02395
1585820700000,1.02395,1.02398,1.02357,1.02364
1585821000000,1.02363,1.02367,1.02332,1.02336
1585821300000,1.02336,1.02362,1.02313,1.02323
1585821600000,1.02323,1.02356,1.0229,1.02351
1585821900000,1.02353,1.02376,1.02331,1.02358
1585822200000,1.02358,1.02375,1.02347,1.02368
1585822500000,1.02373,1.02426,1.02369,1.02396
1585822800000,1.02396,1.02452,1.02393,1.02442
1585823100000,1.02441,1.02456,1.02346,1.02359
1585823400000,1.02359,1.02368,1.02329,1.02343
1585823700000,1.02344,1.02353,1.02329,1.02332
1585824000000,1.02331,1.02361,1.023,1.02316
1585824300000,1.02317,1.02345,1.02294,1.02294
1585824600000,1.02292,1.02312,1.02289,1.02291
1585824900000,1.02292,1.02312,1.02235,1.02306
1585825200000,1.02305,1.02308,1.02259,1.02295
1585825500000,1.02295,1.02305,1.02271,1.02295
1585825800000,1.02296,1.02312,1.02288,1.02302
1585826100000,1.02302,1.02325,1.02278,1.02281
1585826400000,1.02281,1.02367,1.02277,1.02354
1585826700000,1.02356,1.02371,1.02322,1.02335
1585827000000,1.02335,1.02359,1.02294,1.02308
1585827300000,1.02306,1.02358,1.02306,1.02341
1585827600000,1.02342,1.02345,1.02289,1.02292
1585827900000,1.0229,1.02304,1.02254,1.02296
